Element	English	Norwegian Nynorsk
Praseodymium	Praseodymium is used as an alloying agent with magnesium to create high-strength metals that are used in aircraft engines.<br><br>Misch metal, used in making cigarette lighters, contains about 5% praseodymium metal.<br><br>Praseodymium is used to make specialized yellow glass goggles for glass blowers and welders.	Praseodym vert nytta som legeringsmiddel med magnesium for å lage høgfastmetall som vert nytta i fly-motorar.<br><br>Mischmetal, nytta til å lage sigarettennarar, inneheld om lag 5 % praseodymmetall.<br><br>Praseodym vert nytta til å lage spesialiserte gule glassbriller til glassbloesarar og sveisar.
Neodymium	Neodymium is used to make specialized goggles for glass blowers.<br><br>Neodymium magnets appear in products such as microphones, professional loudspeakers, in-ear headphones, guitar and bass guitar pick-ups and computer hard disks.<br><br>Glass containing neodymium can be used as a laser material to produce coherent light.	Neodym vert nytta til å lage spesialiserte briller til glassbloesarar.<br><br>Neodymmagnetar dukkar opp i produkt som mikrofon, profesjonelle høgtalarat, øyreknappar, gitar- og basgitarplukkarar og datamaskin harddiskar.<br><br>Glas som inneheld neodym kan nyttast som lasermateriale til å produsere koherent lys.
Promethium	Promethium is also used in atomic batteries for spacecraft and guided missiles.<br><br>Promethium is also used to measure the thickness of materials by evaluating the amount of radiation from a promethium source that passes through the sample.<br><br>It has possible future uses in portable X-ray sources, and as auxiliary heat or power sources for space probes and satellites.	Promethium vert òg nytta i atomiske batteriar til romsfarty og styrte missilar.<br><br>Promethium vert òg nytta til å måle tjukleiken på materialar ved å evaluere mengda stråling frå ei promethiumkjelde som passerer gjennom prøva.<br><br>Det har moglege framtidige bruksområde i portable røntgenkjelder og som hjelpe-varme- eller kraftkjelder for romsonder og satelittar.
Samarium	Samarium's main use is in samarium-cobalt alloy magnets for headphones, small motors and pickups for some electric guitars.<br><br>Radioactive samarium-153 is used to kill cancer cells in the treatment of lung cancer, prostate cancer, breast cancer and osteosarcoma.<br><br>Samarium and its compounds are also used as catalyst and chemical reagent.	Hovudbruken til samarium er i samarium-kobolt-legeringsmagneter til høyretelafonar, småmotorar og plukkarar for nokre elektriske gitarar.<br><br>Radioaktivt samarium-153 vert nytta til å drepe kreftceller i behandling av lungekreft, prostatakreft, brystkreft og bensarkoma.<br><br>Samarium og sambindingane vert òg nytta som katalysator og kjemisk reagens.
Europium	Europium is used in the manufacture of fluorescent glass.<br><br>It is also used in the anti-counterfeiting phosphors in Euro banknotes.<br><br>Europium-doped plastic has been used as a laser material.<br><br>Europium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Europium vert nytta i produksjon av fluorescensglas.<br><br>Det vert òg nytta i antifalsifikasjonsfosfore i eurosedlar.<br><br>Europiumdopa plast har vorte nytta som lasermateriale.<br><br>Europiumisotopar er gode nøytronabsorbentar og vert nytta i kjernekraftreaktorreaktorstavar.
Gadolinium	Gadolinium is used to make gadolinium yttrium garnets which have microwave applications.<br><br>It is also used in intravenous radiocontrast agents in magnetic resonance imaging (MRI).<br><br>Gadolinium compounds are used for making green phosphors for color TV tubes, and in manufacturing compact discs.	Gadolinium vert nytta til å lage gadolinium-yttrium-granatane som har mikrobølgjeapplikasjonar.<br><br>Det vert òg nytta i intravenøse radiokontraststoff i magnetresonanstomografi (MRI).<br><br>Gadoliniumforbindelsar vert nytta til å lage grøne fosfore til fargefjernsynsrøyr og i produksjon av kompaktdiskar.
Terbium	Terbium is used in alloys and in the production of electronic devices.<br><br>It is also used as a dopant for materials in solid-state devices and optical fibers.<br><br>Terbium oxide is in fluorescent lamps and TV tubes.<br><br>The brilliant fluorescence allows terbium to be used as a probe in biochemistry.	Terbium vert nytta i legeringar og i produksjon av elektroniske utstyr.<br><br>Det vert òg nytta som dopant for materiale i krinsar i fast tilstand og optiske fibrar.<br><br>Terbiumoksid er i lysstoffrøyr og TV-røyr.<br><br>Den strålande fluorescensen gjer at terbium kan nyttast som sonde i biokjemi.
Dysprosium	Dysprosium oxide-nickel cermets are used in neutron-absorbing control rods in nuclear reactors.<br><br>Dysprosium is used in data storage applications such as compact discs and hard discs.<br><br>It is also used in dosimeters for measuring ionizing radiation.<br><br>Dysprosium iodide and dysprosium bromide are used in high intensity metal-halide lamps.	Dysprosiumoksid-nikkel-cermetane vert nytta i nøytronabsorberande styrestavar i kjernereaktorar.<br><br>Dysprosium vert nytta i datalagringapplikasjonar som kompaktdiskar og harddiskar.<br><br>Det vert òg nytta i dosimetrar for måling av ioniserande stråling.<br><br>Dysprosiumjodid og dysprosiumbromin vert nytta i metallhalogen-lampar med høg intensitet.
Holmium	Holmium is used to create the strongest artificially generated magnetic fields, when placed within high-strength magnets as a magnetic pole piece.<br><br>It is one of the colorants used for cubic zirconia and glass, providing yellow or red coloring.<br><br>Holmium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Holmium vert nytta til å skape dei sterkaste kunstig genererte magnetfelta, når det er plassert i høgfastmagnetar som eit magnetisk polstykke.<br><br>Det er eit av fargemidla nytta til kubisk zirkonia og glas, som gjev gul eller raud farge.<br><br>Holmiumisotopar er gode nøytronabsorbentar og vert nytta i kjernekraftreaktorreaktorstavar.
Erbium	Erbium is used in photographic filters to absorb infrared light.<br><br>Erbium oxide gives a pink color and has been used as a colorant in glasses and porcelain enamel glazes.<br><br>It is also used in nuclear technology in neutron-absorbing control rods.<br><br>Erbium is used in alloys especially with vanadium to decrease the hardness of metals.	Erbium vert nytta i fotografiske filter for å absorbere infraraudt lys.<br><br>Erbiumoksid gjev ein rosa farge og har vorte nytta som fargemiddel i glas og porselensemaljglasurar.<br><br>Det vert òg nytta i kjerneteknologi i nøytronabsorberande styrestavar.<br><br>Erbium vert nytta i legeringar, særleg med vanadium, for å redusere hardheten til metall.
Thulium	Thulium is used to dope yttrium aluminum garnets used in lasers.<br><br>It has also been used in high-temperature superconductors similarly to yttrium.<br><br>Thulium has use in ferrites, ceramic magnetic materials that are used in microwave equipment.<br><br>Thulium is used in euro banknotes for its blue fluorescence under UV light to defeat counterfeiters.	Thulium vert nytta til å dope yttrium-aluminium-granatane nytta i laserar.<br><br>Det har òg vorte nytta i høgtemperatursupr-leiiara tilsvarende yttrium.<br><br>Thulium vert nytta i ferrittar, keramiske magnetiske materiale som vert nytta i mikrobølgjeutstyr.<br><br>Thulium vert nytta i eurosedlar for si blå fluorescens under UV-lys for å avsløre forfalskare.
Ytterbium	Ytterbium fiber laser amplifiers are used in marking and engraving.<br><br>Ytterbium compounds are also used as catalysts in the organic chemical industry.<br><br>Ytterbium can be used as a dopant to help improve the grain refinement, strength, and other mechanical properties of stainless steel.	Ytterbium fiberlaserforsterkararar vert nytta i merking og gravering.<br><br>Ytterbiumbindingane vert òg nytta som katalysatorar i den organiske kjemiske industrien.<br><br>Ytterbium kan nyttast som dopant for å hjelpe til å betre kornraffinering, styrken og andre mekaniske eigenskapar til rustfritt stål.
Lutetium	Lutetium oxide is used to make catalysts for cracking hydrocarbons in the petrochemical industry.<br><br>Lutetium aluminum garnet has been proposed for use as a lens material in high refractive index immersion lithography.<br><br>Lutetium is used as a phosphor in LED light bulbs.	Lutetiumoksid vert nytta til å lage katalysatorar for krakking av hydrokarbonar i petrokjemisk industri.<br><br>Lutetiumaluminiumgranat har vorte foreslått for bruk som linse-materiale i høgbrytingsindeks-immersjonslitografi.<br><br>Lutetium vert nytta som fosfor i LED-lyspærer.
Hafnium	Hafnium oxide-based compounds are being introduced into silicon-based chips to produce smaller, more energy efficient and performance packed processors.<br><br>Most of the hafnium produced is used in the production of control rods for nuclear reactors.<br><br>Hafnium is also used in photographic flash bulbs, light bulb filaments, and in electronic equipment as cathodes and capacitors.	Hafniumoksid-baserte sambindingar vert innførte i silisiumbaserte chip for å produsere mindre, meir energieffektive og ytelsesstarka prosessorar.<br><br>Det meste av hafnium som vert produsert vert nytta i produksjon av styrestavar til kjernereaktorar.<br><br>Hafnium vert òg nytta i fotografiske blitslampar, lyspærefilament og i elektronisk utstyr som katodane og kondensatorar.
Tantalum	Tantalum is used in the electronics industry for capacitors and high power resistors.<br><br>The high melting point and oxidation resistance lead to the use of the metal in the production of vacuum furnace parts.<br><br>Tantalum oxide is used to make special glass with high index of refraction for camera lenses.	Tantal vert nytta i elektronikindustrien til kondensatorar og høg-effekts-motstandane.<br><br>Det høge smeltepunktet og oksidasjonsmotstanden leier til bruken av metallet i produksjon av delar til vakuumomnar.<br><br>Tantaloksid vert nytta til å lage spesialglas med høg brytninsindeks til kameralinser.
Tungsten	Tungsten and its alloys are widely used for filaments in electric bulbs and electronic tubes.<br><br>Tungsten carbide is of great importance to the metal-working, mining, and petroleum industries.<br><br>Tungsten oxides are used in ceramic glazes and calcium/magnesium tungstates are used widely in fluorescent lighting.	Wolfram og legeringane vert mykje nytta til glødenettar i elektriske pærer og elektroniske røyr.<br><br>Wolframkarbid er av stor viktigheit for metallbearbeidande, gruvesetter og petroleumsindustrien.<br><br>Wolframoksid vert nytta i keramikkglasurar og kalsium-/magnesiumwolframatar vert mykje nytta i fluorescerande belysning.
Rhenium	Rhenium is widely used as filaments for mass spectrographs and ion gauges.<br><br>It is also used with platinum as catalysts in the production of lead-free, high-octane gasoline.<br><br>Nickel-based superalloys of rhenium are used in the combustion chambers, turbine blades, and exhaust nozzles of jet engines.	Rhenium vert mykje nytta som glødenettar til massesspektrografar og ionmålarar.<br><br>Det vert òg nytta med platina som katalysatoran i produksjon av blyfri høgoktanbenzin.<br><br>Nikkelbaserte superlegeringar av rhenium vert nytta i forbrenningskamre, turbinblad og eksossmunnar til jetmotorar.
